method,compliance_rate,seed,total_time
front_to_back,0.25,11,449.25
wilma,0.25,11,439.3
steffen_perfect,0.25,11,438.90000000000003
steffen_modified,0.25,11,441.05
random,0.25,12,466.0
back_to_front,0.25,12,438.40000000000003
front_to_back,0.25,12,461.65000000000003
wilma,0.25,12,451.05
steffen_perfect,0.25,12,450.70000000000005
steffen_modified,0.25,12,444.25
random,0.25,13,465.40000000000003
back_to_front,0.25,13,446.85
front_to_back,0.25,13,482.6
wilma,0.25,13,445.45000000000005
steffen_perfect,0.25,13,451.85
steffen_modified,0.25,13,453.40000000000003
random,0.25,14,467.5
back_to_front,0.25,14,432.85
front_to_back,0.25,14,461.55
wilma,0.25,14,435.5
steffen_perfect,0.25,14,439.05
steffen_modified,0.25,14,443.75
random,0.25,15,457.75
back_to_front,0.25,15,447.85
front_to_back,0.25,15,479.55
wilma,0.25,15,457.65000000000003
steffen_perfect,0.25,15,453.6
steffen_modified,0.25,15,450.95000000000005
random,0.25,16,458.8
back_to_front,0.25,16,442.90000000000003
front_to_back,0.25,16,487.90000000000003
wilma,0.25,16,438.70000000000005
steffen_perfect,0.25,16,445.40000000000003
steffen_modified,0.25,16,442.20000000000005
random,0.25,17,458.35
back_to_front,0.25,17,442.6
front_to_back,0.25,17,477.35
wilma,0.25,17,442.95000000000005
steffen_perfect,0.25,17,440.1
steffen_modified,0.25,17,453.85
random,0.25,18,466.65000000000003
back_to_front,0.25,18,452.90000000000003
front_to_back,0.25,18,469.70000000000005
wilma,0.25,18,440.8
steffen_perfect,0.25,18,443.95000000000005
steffen_modified,0.25,18,447.15000000000003
random,0.25,19,463.1
back_to_front,0.25,19,452.40000000000003
front_to_back,0.25,19,479.0
wilma,0.25,19,473.40000000000003
steffen_perfect,0.25,19,454.15000000000003
steffen_modified,0.25,19,456.45000000000005
random,0.0,0,480.45000000000005
back_to_front,0.0,0,480.45000000000005
front_to_back,0.0,0,480.45000000000005
wilma,0.0,0,480.45000000000005
steffen_perfect,0.0,0,480.45000000000005
steffen_modified,0.0,0,480.45000000000005
random,0.0,1,453.65000000000003
back_to_front,0.0,1,453.65000000000003
front_to_back,0.0,1,453.65000000000003
wilma,0.0,1,453.65000000000003
steffen_perfect,0.0,1,453.65000000000003
steffen_modified,0.0,1,453.65000000000003
random,0.0,2,446.15000000000003
back_to_front,0.0,2,446.15000000000003
front_to_back,0.0,2,446.15000000000003
wilma,0.0,2,446.15000000000003
steffen_perfect,0.0,2,446.15000000000003
steffen_modified,0.0,2,446.15000000000003
random,0.0,3,490.6
back_to_front,0.0,3,490.6
front_to_back,0.0,3,490.6
wilma,0.0,3,490.6
steffen_perfect,0.0,3,490.6
steffen_modified,0.0,3,490.6
random,0.0,4,462.8
back_to_front,0.0,4,462.8
front_to_back,0.0,4,462.8
wilma,0.0,4,462.8
steffen_perfect,0.0,4,462.8
steffen_modified,0.0,4,462.8
random,0.0,5,440.6
back_to_front,0.0,5,440.6
front_to_back,0.0,5,440.6
wilma,0.0,5,440.6
steffen_perfect,0.0,5,440.6
steffen_modified,0.0,5,440.6
random,0.0,6,461.20000000000005
back_to_front,0.0,6,461.20000000000005
front_to_back,0.0,6,461.20000000000005
wilma,0.0,6,461.20000000000005
steffen_perfect,0.0,6,461.20000000000005
steffen_modified,0.0,6,461.20000000000005
random,0.0,7,455.05
back_to_front,0.0,7,455.05
front_to_back,0.0,7,455.05
wilma,0.0,7,455.05
steffen_perfect,0.0,7,455.05
steffen_modified,0.0,7,455.05
random,0.0,8,464.65000000000003
back_to_front,0.0,8,464.65000000000003
front_to_back,0.0,8,464.65000000000003
wilma,0.0,8,464.65000000000003
steffen_perfect,0.0,8,464.65000000000003
steffen_modified,0.0,8,464.65000000000003
random,0.0,9,456.0
back_to_front,0.0,9,456.0
front_to_back,0.0,9,456.0
wilma,0.0,9,456.0
steffen_perfect,0.0,9,456.0
steffen_modified,0.0,9,456.0
random,0.0,10,438.20000000000005
back_to_front,0.0,10,438.20000000000005
front_to_back,0.0,10,438.20000000000005
wilma,0.0,10,438.20000000000005
steffen_perfect,0.0,10,438.20000000000005
steffen_modified,0.0,10,438.20000000000005
random,0.0,11,428.15000000000003
back_to_front,0.0,11,428.15000000000003
front_to_back,0.0,11,428.15000000000003
wilma,0.0,11,428.15000000000003
steffen_perfect,0.0,11,428.15000000000003
steffen_modified,0.0,11,428.15000000000003
random,0.0,12,460.95000000000005
back_to_front,0.0,12,460.95000000000005
front_to_back,0.0,12,460.95000000000005
wilma,0.0,12,460.95000000000005
steffen_perfect,0.0,12,460.95000000000005
steffen_modified,0.0,12,460.95000000000005
random,0.0,13,468.85
back_to_front,0.0,13,468.85
front_to_back,0.0,13,468.85
wilma,0.0,13,468.85
steffen_perfect,0.0,13,468.85
steffen_modified,0.0,13,468.85
random,0.0,14,464.85
back_to_front,0.0,14,464.85
front_to_back,0.0,14,464.85
wilma,0.0,14,464.85
steffen_perfect,0.0,14,464.85
steffen_modified,0.0,14,464.85
random,0.0,15,460.8
back_to_front,0.0,15,460.8
front_to_back,0.0,15,460.8
wilma,0.0,15,460.8
steffen_perfect,0.0,15,460.8
steffen_modified,0.0,15,460.8
random,0.0,16,447.70000000000005
back_to_front,0.0,16,447.70000000000005
front_to_back,0.0,16,447.70000000000005
wilma,0.0,16,447.70000000000005
steffen_perfect,0.0,16,447.70000000000005
steffen_modified,0.0,16,447.70000000000005
random,0.0,17,443.85
back_to_front,0.0,17,443.85
front_to_back,0.0,17,443.85
wilma,0.0,17,443.85
steffen_perfect,0.0,17,443.85
steffen_modified,0.0,17,443.85
random,0.0,18,476.40000000000003
back_to_front,0.0,18,476.40000000000003
front_to_back,0.0,18,476.40000000000003
wilma,0.0,18,476.40000000000003
steffen_perfect,0.0,18,476.40000000000003
steffen_modified,0.0,18,476.40000000000003
random,0.0,19,458.40000000000003
back_to_front,0.0,19,458.40000000000003
front_to_back,0.0,19,458.40000000000003
wilma,0.0,19,458.40000000000003
steffen_perfect,0.0,19,458.40000000000003
steffen_modified,0.0,19,458.40000000000003
