method,group_fraction,seed,total_time
steffen_perfect,0.6,10,383.0
steffen_modified,0.6,10,384.6
random,0.6,11,457.1
back_to_front,0.6,11,448.15000000000003
front_to_back,0.6,11,555.9
wilma,0.6,11,412.85
steffen_perfect,0.6,11,380.65000000000003
steffen_modified,0.6,11,374.8
random,0.6,12,423.45000000000005
back_to_front,0.6,12,421.65000000000003
front_to_back,0.6,12,600.0500000000001
wilma,0.6,12,394.95000000000005
steffen_perfect,0.6,12,371.25
steffen_modified,0.6,12,379.3
random,0.6,13,441.1
back_to_front,0.6,13,421.3
front_to_back,0.6,13,549.1
wilma,0.6,13,405.55
steffen_perfect,0.6,13,383.3
steffen_modified,0.6,13,378.65000000000003
random,0.6,14,431.6
back_to_front,0.6,14,404.90000000000003
front_to_back,0.6,14,556.9
wilma,0.6,14,394.40000000000003
steffen_perfect,0.6,14,377.40000000000003
steffen_modified,0.6,14,375.45000000000005
random,0.6,15,438.35
back_to_front,0.6,15,438.90000000000003
front_to_back,0.6,15,582.45
wilma,0.6,15,401.05
steffen_perfect,0.6,15,382.3
steffen_modified,0.6,15,386.90000000000003
random,0.6,16,414.90000000000003
back_to_front,0.6,16,421.70000000000005
front_to_back,0.6,16,571.2
wilma,0.6,16,398.40000000000003
steffen_perfect,0.6,16,382.15000000000003
steffen_modified,0.6,16,374.1
random,0.6,17,429.6
back_to_front,0.6,17,423.65000000000003
front_to_back,0.6,17,589.0
wilma,0.6,17,406.90000000000003
steffen_perfect,0.6,17,390.3
steffen_modified,0.6,17,380.40000000000003
random,0.6,18,454.90000000000003
back_to_front,0.6,18,427.75
front_to_back,0.6,18,573.4
wilma,0.6,18,419.6
steffen_perfect,0.6,18,380.05
steffen_modified,0.6,18,376.90000000000003
random,0.6,19,436.1
back_to_front,0.6,19,420.6
front_to_back,0.6,19,564.3000000000001
wilma,0.6,19,399.25
steffen_perfect,0.6,19,375.55
steffen_modified,0.6,19,377.5
random,0.8,0,432.3
back_to_front,0.8,0,431.35
front_to_back,0.8,0,582.5500000000001
wilma,0.8,0,426.35
steffen_perfect,0.8,0,402.1
steffen_modified,0.8,0,386.40000000000003
random,0.8,1,441.05
back_to_front,0.8,1,433.85
front_to_back,0.8,1,535.35
wilma,0.8,1,420.70000000000005
steffen_perfect,0.8,1,389.90000000000003
steffen_modified,0.8,1,381.90000000000003
random,0.8,2,435.25
back_to_front,0.8,2,431.05
front_to_back,0.8,2,571.15
wilma,0.8,2,410.20000000000005
steffen_perfect,0.8,2,398.8
steffen_modified,0.8,2,386.65000000000003
random,0.8,3,431.40000000000003
back_to_front,0.8,3,418.1
front_to_back,0.8,3,571.1
wilma,0.8,3,422.5
steffen_perfect,0.8,3,405.90000000000003
steffen_modified,0.8,3,373.5
random,0.8,4,427.90000000000003
back_to_front,0.8,4,428.95000000000005
front_to_back,0.8,4,558.8000000000001
wilma,0.8,4,435.85
steffen_perfect,0.8,4,386.40000000000003
steffen_modified,0.8,4,387.8
random,0.8,5,428.25
back_to_front,0.8,5,419.75
front_to_back,0.8,5,562.6
wilma,0.8,5,397.3
steffen_perfect,0.8,5,399.15000000000003
steffen_modified,0.8,5,375.70000000000005
random,0.8,6,431.90000000000003
back_to_front,0.8,6,413.0
front_to_back,0.8,6,523.9
wilma,0.8,6,422.05
steffen_perfect,0.8,6,391.15000000000003
steffen_modified,0.8,6,378.15000000000003
random,0.8,7,403.25
back_to_front,0.8,7,410.70000000000005
front_to_back,0.8,7,517.35
wilma,0.8,7,392.8
steffen_perfect,0.8,7,375.70000000000005
steffen_modified,0.8,7,371.1
random,0.8,8,441.05
back_to_front,0.8,8,417.3
front_to_back,0.8,8,548.0500000000001
wilma,0.8,8,402.90000000000003
steffen_perfect,0.8,8,377.6
steffen_modified,0.8,8,374.15000000000003
random,0.8,9,434.70000000000005
back_to_front,0.8,9,406.45000000000005
front_to_back,0.8,9,536.75
wilma,0.8,9,404.3
steffen_perfect,0.8,9,397.70000000000005
steffen_modified,0.8,9,373.20000000000005
random,0.8,10,429.85
back_to_front,0.8,10,421.8
front_to_back,0.8,10,549.6
wilma,0.8,10,414.3
steffen_perfect,0.8,10,392.65000000000003
steffen_modified,0.8,10,384.6
random,0.8,11,436.3
back_to_front,0.8,11,445.65000000000003
front_to_back,0.8,11,552.5
wilma,0.8,11,413.25
steffen_perfect,0.8,11,384.6
steffen_modified,0.8,11,374.8
random,0.8,12,409.70000000000005
back_to_front,0.8,12,414.15000000000003
front_to_back,0.8,12,558.3000000000001
wilma,0.8,12,399.90000000000003
steffen_perfect,0.8,12,374.0
steffen_modified,0.8,12,379.3
random,0.8,13,425.3
back_to_front,0.8,13,405.15000000000003
front_to_back,0.8,13,556.5500000000001
wilma,0.8,13,407.85
steffen_perfect,0.8,13,392.05
steffen_modified,0.8,13,378.65000000000003
random,0.8,14,414.45000000000005
back_to_front,0.8,14,404.70000000000005
front_to_back,0.8,14,540.2
wilma,0.8,14,397.25
steffen_perfect,0.8,14,380.25
steffen_modified,0.8,14,375.45000000000005
random,0.8,15,420.85
back_to_front,0.8,15,440.40000000000003
front_to_back,0.8,15,585.65
wilma,0.8,15,412.5
steffen_perfect,0.8,15,391.6
steffen_modified,0.8,15,386.90000000000003
random,0.8,16,409.45000000000005
back_to_front,0.8,16,418.55
front_to_back,0.8,16,552.5
wilma,0.8,16,401.5
steffen_perfect,0.8,16,383.05
steffen_modified,0.8,16,374.1
random,0.8,17,424.95000000000005
back_to_front,0.8,17,423.35
front_to_back,0.8,17,573.6
wilma,0.8,17,405.0
steffen_perfect,0.8,17,387.15000000000003
steffen_modified,0.8,17,380.40000000000003
random,0.8,18,459.45000000000005
back_to_front,0.8,18,422.8
front_to_back,0.8,18,550.4
wilma,0.8,18,425.25
steffen_perfect,0.8,18,385.70000000000005
steffen_modified,0.8,18,376.90000000000003
random,0.8,19,419.8
back_to_front,0.8,19,413.70000000000005
front_to_back,0.8,19,547.1
wilma,0.8,19,395.6
steffen_perfect,0.8,19,380.20000000000005
steffen_modified,0.8,19,377.5
